1,(Fx) Køkken - Smart light B Sequence - Step1 Enable,HREG,400404,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step1 Delay,HREG,400405,unsignedInt,
1,(Fx) Køkken - Smart light B Sequence - Step1 Level command,HREG,400407,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step1 Tc command,HREG,400408,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step1 Option command,HREG,400409,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step1 Enable command,HREG,400410,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step2 Enable,HREG,400411,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step2 Delay,HREG,400412,unsignedInt,
1,(Fx) Køkken - Smart light B Sequence - Step2 Level command,HREG,400414,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step2 Tc command,HREG,400415,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step2 Option command,HREG,400416,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step2 Enable command,HREG,400417,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step3 Enable,HREG,400418,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step3 Delay,HREG,400419,unsignedInt,
1,(Fx) Køkken - Smart light B Sequence - Step3 Level command,HREG,400421,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step3 Tc command,HREG,400422,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step3 Option command,HREG,400423,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step3 Enable command,HREG,400424,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step4 Enable,HREG,400425,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step4 Delay,HREG,400426,unsignedInt,
1,(Fx) Køkken - Smart light B Sequence - Step4 Level command,HREG,400428,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step4 Tc command,HREG, 400465,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step4 Option command,HREG,400430,unsignedShort,
1,(Fx) Køkken - Smart light B Sequence - Step4 Enable command,HREG,400431,unsignedShort,
1,(Fx) Køkken - Smart light Energy save timer delay,HREG,400432,unsignedInt,
1,(Fx) Køkken - Smart light Energy save timer - Primary action Level command,HREG,400434,unsignedShort,
1,(Fx) Køkken - Smart light Energy save timer - Primary action Tc command,HREG,400435,unsignedShort,
1,(Fx) Køkken - Smart light Energy save timer - Primary action Option command,HREG,400436,unsignedShort,
1,(Fx) Køkken - Smart light Energy save timer - Primary action Enable command,HREG,400437,unsignedShort,
